artist_name,artist_id,genre,artist_popularity,artist_n_followers,song_name,song_id,song_duration_min,song_popularity,song_artists,album_name,album_year_release,album_month_release,album_day_release
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,pop,70,2318795,Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,3.34,75,['*NSYNC'],No Strings Attached,2000,03,21
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,pop,70,2318795,It's Gonna Be Me,2AW37v0bDyuOzGP3XnmFuA,3.21,71,['*NSYNC'],No Strings Attached,2000,03,21
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,pop,70,2318795,Tearin' up My Heart - Radio Edit,73q3FpQVXWk5eSUnyo83E4,3.49,68,['*NSYNC'],'N Sync UK Version,1997,,
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,pop,70,2318795,This I Promise You,46n2EGFnPC3tzWCN1Aqe26,4.75,67,['*NSYNC'],No Strings Attached,2000,03,21
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,pop,70,2318795,Paradise (feat. *NSYNC),58SAJo2ZxqMirQl41CHCN6,4.45,58,['Justin Timberlake'],Everything I Thought It Was,2024,03,14
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,pop,70,2318795,I Want You Back - Radio Edit,221LRlPHPuevgE1tuUlof9,3.34,64,['*NSYNC'],'N Sync UK Version,1997,,
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,pop,70,2318795,Better Place (Reunion),5GJaRoYtOiXUpPVT0jyNNq,2.26,64,['Trolls'],TROLLS Band Together (Original Motion Picture Soundtrack),2023,10,20
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,pop,70,2318795,Pop,0Jc8qF1mUPo1A96HE9QxZz,3.97,57,['*NSYNC'],Celebrity,2001,07,24
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,pop,70,2318795,Girlfriend,6u5flhVFxKZrl9AApvf2SL,4.23,54,['*NSYNC'],Celebrity,2001,07,24
2 Chainz,17lzZA2AlOHwCwFALHttmp,rap,76,7946831,"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)",0KoBrntyQ2x6Y1eZwgGe5P,3.91,67,['Metro Boomin'],METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023,06,02
2 Chainz,17lzZA2AlOHwCwFALHttmp,rap,76,7946831,Presha,2tvYu1CPNCTmViowWzGw86,3.08,59,"['2 Chainz', 'Lil Wayne']",Welcome 2 Collegrove,2023,11,17
2 Chainz,17lzZA2AlOHwCwFALHttmp,rap,76,7946831,It's A Vibe,6H0AwSQ20mo62jGlPGB8S6,3.5,66,['2 Chainz'],Pretty Girls Like Trap Music,2017,06,16
2 Chainz,17lzZA2AlOHwCwFALHttmp,rap,76,7946831,Long Story Short,6LVNGPtSPpc4KDFjvLS8c1,3.51,60,"['2 Chainz', 'Lil Wayne']",Welcome 2 Collegrove,2023,11,17
2 Chainz,17lzZA2AlOHwCwFALHttmp,rap,76,7946831,4 AM,1nX9KhK3Fff27SnrIor2Yb,4.26,63,['2 Chainz'],Pretty Girls Like Trap Music,2017,06,16
2 Chainz,17lzZA2AlOHwCwFALHttmp,rap,76,7946831,X (with 2 Chainz & Saudi),4LmAnpjlhWTahvRkYR8xJa,4.46,62,"['Kendrick Lamar', 'SZA']",Black Panther The Album Music From And Inspired By,2018,02,09
2 Chainz,17lzZA2AlOHwCwFALHttmp,rap,76,7946831,No Lie,6j9iyrrmqWlQZ5SD1hSTaq,3.96,61,['2 Chainz'],Based On A T.R.U. Story (Deluxe),2012,01,01
2 Chainz,17lzZA2AlOHwCwFALHttmp,rap,76,7946831,"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)",5PfTI3zrQbZEWcQdycMqJM,3.86,49,"['Young Thug', '2 Chainz', 'Wiz Khalifa']","Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)",2017,03,23
21 Savage,1URnnhqYAYcrqrcwql10ft,rap,91,18021689,redrum,52eIcoLUM25zbQupAZYoFh,4.51,93,['21 Savage'],american dream,2024,01,12
21 Savage,1URnnhqYAYcrqrcwql10ft,rap,91,18021689,Glock In My Lap,6pcywuOeGGWeOQzdUyti6k,3.23,84,"['21 Savage', 'Metro Boomin']",SAVAGE MODE II,2020,10,02
21 Savage,1URnnhqYAYcrqrcwql10ft,rap,91,18021689,ball w/o you,50a8bKqlwDEqeiEknrzkTO,3.25,83,['21 Savage'],i am > i was,2018,12,21
21 Savage,1URnnhqYAYcrqrcwql10ft,rap,91,18021689,Runnin,5SWnsxjhdcEDc7LJjq9UHk,3.27,83,"['21 Savage', 'Metro Boomin']",SAVAGE MODE II,2020,10,02
21 Savage,1URnnhqYAYcrqrcwql10ft,rap,91,18021689,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,3.99,82,"['Drake', '21 Savage']",Her Loss,2022,11,04
21 Savage,1URnnhqYAYcrqrcwql10ft,rap,91,18021689,TOPIA TWINS (feat. Rob49 & 21 Savage),0lodMO0qK83vfPiiD7FMEt,3.72,82,['Travis Scott'],UTOPIA,2023,07,28
21 Savage,1URnnhqYAYcrqrcwql10ft,rap,91,18021689,Rich Nigga Shit (feat. Young Thug),3ruoIF2UnoXdzK8mR61ebq,3.17,81,"['21 Savage', 'Metro Boomin']",SAVAGE MODE II,2020,10,02
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,California Love - Original Version,3ia3dJETSOllPsv3LJkE35,4.75,81,['2Pac'],Greatest Hits,1998,01,01
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Hit 'Em Up - Single Version,0Z2J91b2iTGLVTZC4fKgxf,5.21,79,['2Pac'],Greatest Hits,1998,01,01
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,All Eyez On Me (ft. Big Syke),4VQNCzfZ3MdHEwwErNXpBo,5.13,78,['2Pac'],All Eyez On Me,1996,02,13
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Ambitionz Az A Ridah,5g9lS8deSIxItFBmZRC4vN,4.64,78,['2Pac'],All Eyez On Me,1996,02,13
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Changes,1ofhfV90EnYhEr7Un2fWiv,4.48,75,['2Pac'],Greatest Hits,1998,01,01
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Do For Love,4AE7Lj39VnSZNOmGH2iZaq,4.69,75,['2Pac'],R U Still Down? [Remember Me],1997,01,01
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Hail Mary,2zoobJFEB9h15fjYjRd6oP,5.21,66,['2Pac'],Greatest Hits,1998,01,01
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Keep Ya Head Up,0XRbYXQUymj9SJkrr8YK5B,4.38,70,['2Pac'],Strictly 4 My N.I.G.G.A.Z...,1993,02,16
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),6LwrEZNkvFTOypNwSLjuaJ,4.11,70,['2Pac'],All Eyez On Me,1996,02,13
2Pac,1ZwdS5xdxEREPySFridCfh,rap,79,17506009,Dear Mama,6tDxrq4FxEL2q15y37tXT9,4.67,71,['2Pac'],Me Against The World,1995,03,14
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,3.9,82,['3 Doors Down'],The Better Life,2000,,
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Here Without You,3NLrRZoMF0Lx6zTlYqeIo4,3.98,77,['3 Doors Down'],Away From The Sun,2002,11,12
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,When I'm Gone,3WbphvawbMZ8FyqDxYGdSQ,4.34,74,['3 Doors Down'],Away From The Sun,2002,11,12
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,It's Not My Time,0uybt73QFXaLCoxuVf6fhm,4.03,64,['3 Doors Down'],3 Doors Down,2008,01,01
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Loser,1aC1IBAETh2XYGOE8kCC6t,4.41,63,['3 Doors Down'],The Better Life,2000,,
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,rock,71,4285767,Here Without You - Acoustic,2HIU8kiFo9sB5ih05q8wgP,3.88,50,['3 Doors Down'],Here Without You (Acoustic),2004,01,01
