artist_name,artist_id,artist_popularity,artist_n_followers,genre
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,70,2318795,pop
2 Chainz,17lzZA2AlOHwCwFALHttmp,76,7946831,rap
21 Savage,1URnnhqYAYcrqrcwql10ft,91,18021689,rap
2Pac,1ZwdS5xdxEREPySFridCfh,79,17506009,rap
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,71,4285767,rock
311,41Q0HrwWBtuUkJc7C1Rp6K,63,1022284,alternative metal
42 Dugg,45gHcnDnMC15sgx3VL7ROG,71,1085192,trap
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,77,9848206,pop
50 Cent,3q7HBObVc0L8jNeTe5Gofh,83,14042436,rap
6LACK,4IVAbR2w4JJNJDDRFP3E83,73,4638212,rap
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,80,8069601,rap
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,69,2289983,alternative metal
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,67,2078600,hip hop
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,70,3727102,rap
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,83,13770827,rap
AC/DC,711MCceyCBcFnzjGY4Q7Un,82,28064516,rock
AFROJACK,4D75GcNG95ebPtNvoNVXhz,73,3878605,dance pop
AJR,6s22t5Y3prQHyaHWUN1R1C,73,3270510,pov: indie
Aaliyah,0urTpYCsixqZwgNTkPJOJ4,67,4240843,dance pop
Adele,4dpARuHxo51G3z768sgnrY,85,54710372,pop
Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,68,325083,indie pop
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,75,14060927,rock
Akon,0z4gvV4rjIZ9wHck67ucSV,81,4396229,dance pop
Al Green,3dkbV4qihUeMsqN4vBGg93,66,1931658,soul
Alabama,6rJqqRce0Kvo2dJUXoHleC,63,1365480,contemporary country
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,76,4976770,pop
Alejandro Fernández,6sq1yF0OZEWA4xoXVKW1L9,75,7389963,musica mexicana
Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,75,7403087,latin pop
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,72,11754963,pop
Alesso,4AVFqumd2ogHFlRbKIjp1t,73,3869129,pop
Alex Brightman,7abCELr0U2E5K2nPjVtWkN,68,51760,show tunes
Alex G,6lcwlkAjBPSKnFBZjjZFJs,75,1835125,pov: indie
Alfredo Olivas,5xYNmNkaWRqu3e5F4UXME8,81,7800032,musica mexicana
Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,73,4963451,rock
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,79,11526591,pop
All Time Low,46gyXjRIvN1NL1eCB8GBxo,69,2990109,modern rock
Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,63,1587669,rock
Alvaro Diaz,5J7rXWjtn5HzUkJ4Jet8Fr,72,615224,urbano latino
Amaarae,21UPYSRWFKwtqvSAnFnSvS,68,361903,alternative r&b
Aminé,3Gm5F95VdRxW3mqCn8RPBJ,67,1934556,rap
Ana Gabriel,41ESHLayJ5sDKjAOv6cMhe,73,4122363,latin pop
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,76,2490190,hip hop
André 3000,74V3dE1a51skRkdII8y2C6,65,526478,hip hop
Anitta,7FNnA9vBm6EKceENgCGRMb,81,12369189,pop
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,78,11751879,pop
Anthony Ramos,660YptcR0hNHJ8iEr1qcse,66,149702,show tunes
Antonio Aguilar,0PN0fbe41KbuzlRYnoajNm,70,3160179,musica mexicana
Anuel AA,2R21vXR83lH98kGeO99Y66,87,35022850,urbano latino
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,86,24162317,rock
Arcángel,4SsVbpTthjScTS7U2hmr1X,84,13721226,urbano latino
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,70,3308471,soul
Ari Lennox,1vaQ6v3pOFxAIrFoPrAcom,66,766822,alternative r&b
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,94,95766847,pop
