artist_name,artist_id,artist_popularity,artist_n_followers,artist_genres
$NOT,5IbEL2xjRtKsunfmsahLuO,68,1503263,"['aesthetic rap', 'cloud rap', 'florida rap', 'underground hip hop']"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,86,6930595,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']"
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,77,8866159,['k-pop girl group']
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,70,2318795,"['boy band', 'dance pop', 'pop']"
03 Greedo,0FtsMKmZEq8fBWqdSOWtqp,62,469118,"['cali rap', 'melodic rap']"
070 Shake,12Zk1DFhCbHY6v3xep2ZjI,70,527181,['new jersey rap']
1nonly,3ZHU5AKrUmIPnCFfr82QER,69,978489,['aesthetic rap']
2 Chainz,17lzZA2AlOHwCwFALHttmp,76,7946831,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
21 Savage,1URnnhqYAYcrqrcwql10ft,91,18021689,"['atl hip hop', 'hip hop', 'rap']"
24kGoldn,6fWVd57NKTalqvmjRd2t8Z,71,2196299,"['cali rap', 'pop rap']"
2Pac,1ZwdS5xdxEREPySFridCfh,79,17506009,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
3 Doors Down,2RTUTCvo6onsAnheUk3aL9,71,4285767,"['alternative metal', 'nu metal', 'post-grunge', 'rock']"
311,41Q0HrwWBtuUkJc7C1Rp6K,63,1022284,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion']"
41,0yknvLWQZxwsMjhUhwWZQ8,66,168099,['new york drill']
42 Dugg,45gHcnDnMC15sgx3VL7ROG,71,1085192,"['detroit trap', 'southern hip hop', 'trap']"
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,77,9848206,"['boy band', 'pop']"
50 Cent,3q7HBObVc0L8jNeTe5Gofh,83,14042436,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
6LACK,4IVAbR2w4JJNJDDRFP3E83,73,4638212,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']"
6arelyhuman,1oYXEVbGh1L7EWGm9C68cN,74,1001672,"['krushclub', 'scenecore']"
6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,71,6779465,['emo rap']
9lives,2MQN1o9W3ULxdT38vj8g4Q,70,363838,"['krushclub', 'sigilkore']"
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,80,8069601,"['melodic rap', 'rap', 'trap']"
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,69,2289983,"['alternative metal', 'metalcore', 'neon pop punk', 'pop punk', 'screamo']"
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,67,2078600,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']"
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,70,3727102,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,83,13770827,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,79,45265681,['filmi']
ABBA,0LcJLqbBmaGUft1e9Mm8HV,81,11901881,"['europop', 'swedish pop']"
AC/DC,711MCceyCBcFnzjGY4Q7Un,82,28064516,"['australian rock', 'hard rock', 'rock']"
AFROJACK,4D75GcNG95ebPtNvoNVXhz,73,3878605,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']"
AJR,6s22t5Y3prQHyaHWUN1R1C,73,3270510,['pov: indie']
ATEEZ,68KmkJeZGfwe1OUaivBa2L,72,3812108,"['k-pop', 'k-pop boy group']"
AURORA,1WgXqy2Dd70QQOU7Ay074N,73,3548692,"['art pop', 'norwegian pop']"
Aaliyah,0urTpYCsixqZwgNTkPJOJ4,67,4240843,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']"
Aaron May,2rwALQ1SXdfUWPUd6WOfYS,71,481929,['conscious hip hop']
Adam Calhoun,4fZ8AuVP6Y8mLmCoybfKpC,61,588892,"['country rap', 'military rap', 'redneck']"
Adam Levine,4bYPcJP5jwMhSivRcqie2n,71,993328,['deep talent show']
Adele,4dpARuHxo51G3z768sgnrY,85,54710372,"['british soul', 'pop', 'pop soul', 'uk pop']"
Ado,6mEQK9m2krja6X1cfsAjfl,75,4240509,['japanese teen pop']
Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,68,325083,"['chamber pop', 'countrygaze', 'indie pop', 'small room']"
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,75,14060927,"['album rock', 'classic rock', 'hard rock', 'rock']"
Agust D,5RmQ8k4l3HZ8JoPb4mNsML,74,14096535,['k-rap']
Akon,0z4gvV4rjIZ9wHck67ucSV,81,4396229,['dance pop']
Al Green,3dkbV4qihUeMsqN4vBGg93,66,1931658,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
Alabama,6rJqqRce0Kvo2dJUXoHleC,63,1365480,"['contemporary country', 'country', 'country road', 'country rock']"
Alan Jackson,4mxWe1mtYIYfP040G38yvS,72,2629661,['country']
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,81,38468713,['electro house']
Alanis Morissette,6ogn9necmbUdCppmNnGOdi,68,2756723,"['canadian pop', 'canadian singer-songwriter', 'lilith', 'neo mellow', 'pop rock', 'singer-songwriter']"
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,76,4976770,"['alt z', 'pop', 'pov: indie']"
Alejandro Fernández,6sq1yF0OZEWA4xoXVKW1L9,75,7389963,"['latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'musica mexicana', 'ranchera']"
Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,75,7403087,"['cantautor', 'latin arena pop', 'latin pop', 'mexican pop']"
Alek Olsen,27sdgIaFiz55vkR68fBiy8,66,63138,['corecore']
Alemán,4QFG9KrGWEbr6hNA58CAqE,74,5255345,"['mexican hip hop', 'trap mexicano']"
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,72,11754963,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Alesso,4AVFqumd2ogHFlRbKIjp1t,73,3869129,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
Alex Brightman,7abCELr0U2E5K2nPjVtWkN,68,51760,['show tunes']
Alex G,6lcwlkAjBPSKnFBZjjZFJs,75,1835125,"['philly indie', 'pov: indie']"
Alfredo Olivas,5xYNmNkaWRqu3e5F4UXME8,81,7800032,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']"
Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,73,4963451,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']"
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,79,11526591,"['neo soul', 'pop', 'r&b']"
Alka Yagnik,3gBKY0y3dFFVRqicLnVZYz,80,13756047,"['filmi', 'hare krishna', 'modern bollywood']"
All Time Low,46gyXjRIvN1NL1eCB8GBxo,69,2990109,"['modern rock', 'neon pop punk', 'pop emo', 'pop punk']"
Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,63,1587669,"['album rock', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'heartland rock', 'jam band', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']"
Alok,0NGAZxHanS9e0iNHpR8f2W,81,11343451,"['electro house', 'pop nacional', 'slap house']"
Alvaro Diaz,5J7rXWjtn5HzUkJ4Jet8Fr,72,615224,"['trap boricua', 'urbano latino']"
Amaarae,21UPYSRWFKwtqvSAnFnSvS,68,361903,"['afro r&b', 'afrobeats', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']"
America,35U9lQaRWSQISxQAB94Meo,68,1720949,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'soft rock']"
Aminé,3Gm5F95VdRxW3mqCn8RPBJ,67,1934556,"['pop rap', 'portland hip hop', 'rap', 'underground hip hop']"
Amitabh Bhattacharya,2fMqTqiTxUDlmcOEPaQSsx,78,668177,['modern bollywood']
Amy Winehouse,6Q192DXotxtaysaqNPy5yR,77,8565955,"['british soul', 'neo soul']"
Ana Castela,2CKOmarVWvWqkNWUatHCex,83,5263365,"['agronejo', 'sertanejo pop']"
Ana Gabriel,41ESHLayJ5sDKjAOv6cMhe,73,4122363,"['latin pop', 'mariachi', 'ranchera']"
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,76,2490190,"['escape room', 'hip hop', 'indie soul', 'neo soul']"
André 3000,74V3dE1a51skRkdII8y2C6,65,526478,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']"
Andy Grammer,2oX42qP5ineK3hrhBECLmj,67,1186045,"['neo mellow', 'post-teen pop', 'viral pop']"
Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,82,27814729,"['desi hip hop', 'filmi', 'tamil hip hop']"
Anitta,7FNnA9vBm6EKceENgCGRMb,81,12369189,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']"
Anna Kendrick,6xfqnpe2HnLVUaYXs2F8YS,68,352996,['hollywood']
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,78,11751879,['pop']
Annie Lennox,5MspMQqdVbdwP6ax3GXqum,71,1504418,"['new romantic', 'new wave', 'new wave pop', 'singer-songwriter', 'soft rock', 'synthpop']"
Anthony Ramos,660YptcR0hNHJ8iEr1qcse,66,149702,['show tunes']
